"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138548","Should signup successfully with valid credentials","signup-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Signup","",""
"","11047","Should delete trip successfully","trip-sharing-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Trip Delete","",""
"","12785","Should edit user country to Albania successfully","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","Valid User Country Editing","",""
"","43186","Should redirect to the Trip Planning screen successfully","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Authenticated User","",""
"","18399","Should replace the selected activity with the suggested one, successfully","activity-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Activity Replacement","",""
"","5122","Should not allow editing trip that has already started with","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Trip Edit","",""
"","59180","Should login successfully","auth-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Authentication","",""
"","9147","Should delete trip successfully","activity-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Trip Delete","",""
"","93475","Should view activity details successfully","activity-suite.yaml","2026-04-02","passed","2026-04-02","","Activity Details View","",""
"","55527","Should show error when password is empty","auth-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Authentication","",""
"","13347","Should edit user consent successfully","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","Valid User Consent Editing","",""
"","83031","Should open trip details page with correct information when opening a valid trip sharing deep link","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Authenticated User","",""
"","65126","Should fail to proceed trip creation with empty destination","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Trip Creation","",""
"","85428","Should add place to wishlist successfully with valid inputs","wishlist-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Add to Wishlist","",""
"","5265","Should autofill place details when tapping on a wishlist item","wishlist-suite.yaml","2026-04-02","passed","2026-04-02","","View Wishlist Item","",""
"","119329","Should create trip successfully with valid inputs","activity-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Trip Creation","",""
"","11421","Should redirect to account deletion alternative (trip management)","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","User Account Deletion Alternatives","",""
"","16458","Should invite a non-member to the trip successfully","trip-sharing-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Invite Non-Members to Trip","",""
"","34364","Should open trip details page with correct information when opening a valid trip sharing deep link","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Unauthenticated User","",""
"","11077","Should fail to proceed trip creation with no categories selected","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Trip Creation","",""
"","82607","Should manage a member's edit access level successfully","trip-sharing-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Manage Access for Trip","",""
"","68441","Should invite an app member to the trip successfully","trip-sharing-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Invite Members to Trip","",""
