"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10508","Should redirect to account deletion alternative (profile management)","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","User Account Deletion Alternatives","",""
"","80610","Should fail when personal info fields are empty","signup-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Signup","",""
"","121906","Should create trip successfully with valid inputs","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Trip Creation","",""
"","7420","Should edit app language to french successfully","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","Valid App Language Editing","",""
"","18577","Should not redirect to the Trip Planning screen and instead open the login screen","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Unauthenticated User","",""
"","87890","Should create trip successfully with valid inputs","trip-sharing-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Trip Creation","",""
"","77191","Should not add place to wishlist if it already exists","wishlist-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Add to Wishlist","",""
"","11649","Should fail to proceed trip creation with no dates selected","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Trip Creation","",""
"","78988","Should fail when email already registered","signup-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Signup","",""
"","19462","Should not redirect to the User Profile screen and instead open the login screen","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Unauthenticated User","",""
"","12015","Should fail to proceed trip creation with dates gap > 15 days","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Trip Creation","",""
"","83211","Should manage a member's view access level successfully","trip-sharing-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Manage Access for Trip","",""
"","23525","Should authenticate successfully with Google account","social-auth-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Google Authentication","",""
"","19039","Should not redirect to the Visited Countries screen and instead open the login screen","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Unauthenticated User","",""
"","110049","Should signup successfully with valid credentials","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Signup","",""
"","19803","Should remove a member from the trip successfully","trip-sharing-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Remove Members from Trip","",""
"","17346","Should reorder the activities successfully","activity-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Activity Reordering","",""
"","41849","Should redirect to the Visited Countries screen successfully","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Authenticated User","",""
"","43002","Should redirect to the World Map screen successfully","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Authenticated User","",""
"","79548","Should show error for invalid email","auth-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Authentication","",""
"","9035","Should edit app language to english successfully","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","Valid App Language Editing","",""
"","41600","Should redirect to the Wishlist screen successfully","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Authenticated User","",""
"","6672","Should remove place from wishlist successfully","wishlist-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Remove from Wishlist","",""
"","28644","Should delete user account successfully","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","Valid User Account Deletion","",""
"","19795","Should not redirect to the Wishlist screen and instead open the login screen","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Unauthenticated User","",""
"","75518","Should fail when passwords do not match","signup-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Signup","",""
"","75150","Should fail when credential fields are empty","signup-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Signup","",""
"","73248","Should delete all activities of the first day, leaving only the last one, successfully","activity-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Activity Deletion","",""
"","41700","Should authenticate successfully with Facebook account","social-auth-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Facebook Authentication","",""
"","12802","Should logout successfully","auth-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Authentication","",""
"","13969","Should edit user country to Albania successfully","account-management-suite.yaml","2026-04-02","passed","2026-04-02","","Valid User Country Editing","",""
"","46201","Should not create trip with invalid combination of inputs","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Trip Creation","",""
"","49366","Should edit successfully trip categories and dates","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Trip Edit","",""
"","19305","Should not redirect to the World Map screen and instead open the login screen","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Unauthenticated User","",""
"","9467","Should delete trip successfully","trip-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Trip Delete","",""
"","41935","Should redirect to the User Profile screen successfully","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Authenticated User","",""
"","17792","Should not redirect to the Upcoming Trips screen and instead open the login screen","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Unauthenticated User","",""
"","49919","Should show error for wrong password","auth-suite.yaml","2026-04-02","passed","2026-04-02","","Invalid Authentication","",""
"","30724","Should delete user account successfully","signup-suite.yaml","2026-04-02","passed","2026-04-02","","Valid User Account Deletion","",""
"","42310","Should redirect to the Upcoming Trips screen successfully","deeplinks-suite.yaml","2026-04-02","passed","2026-04-02","","Valid Deep Link Opening - Authenticated User","",""
